#OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40
OTU_40	0	0.012027905	0	0	0	0	0	0.07980846	0.046307016	0	0	0.149794033	0.01218472	0	0	0	0.011879306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_41	0	0	0	0	0	0.035876585	0	0.022802417	0.011576754	0.056497175	0.01199904	0.024965672	0	0	0	0	0	0	0	0	0.011336583	0.106094542	0	0	0	0	0	0	0.065832785	0.011074197	0.010549636	0	0	0	0	0	0.022776449	0	0	0.033167496
OTU_42	0.012025012	0.060139524	0	0	0	0.011958862	0	0.045604834	0.046307016	0.02259887	0.02399808	0	0.024369441	0.034419458	0.022573363	0	0.023758612	0.035688794	0	0.011904762	0	0.023576565	0.01070091	0	0	0	0	0	0	0	0	0	0.01179941	0	0	0	0.011388225	0.011358473	0	0
OTU_43	0.036075036	0	0	0	0	0	0	0.114012085	0	0	0.04799616	0.049931344	0	0	0.033860045	0	0	0.047585058	0	0.011904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0113199	0.035808069	0	0	0	0
OTU_44	0	0	0	0	0	0	0	0	0	0.101694915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_45	0	0	0	0	0	0	0	0	0	0	0	0.012482836	0	0	0	0	0	0	0	0	0	0.259342214	0.192616372	0	0.507990264	0.036079375	0	0.188177994	0	0	0	0	0.01179941	0.174825175	0.022639801	0	0	0.851885507	0.022318938	0.298507463
OTU_46	0	0.024055809	0.011579435	0	0	0.011958862	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011904762	0	0	0	0	0.01058313	0.012026458	0	0.011069294	0	0	0.031648908	0.031052686	0	0	0	0	0	0.011358473	0	0
OTU_47	0	0	0.011579435	0	0.04719764	0	0	0	0.937717064	0.011299435	0	0.012482836	0	0.011473153	0	0	0	0	0	0	0	0.04715313	0	0	0	0.012026458	1.230053191	0	0	0	0.05274818	0	0	0.076486014	0	0	0	0	0	0
OTU_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011904762	0	0	0	0	0.031749391	0	0	0	0	0	0	0.010350895	0	0	0.0113199	0	0	0	0.044637875	0
OTU_49	0	0	0	0	0.02359882	0	0	0.011401209	0.011576754	0.011299435	0.02399808	0	0	0	0	0.011249859	0.011879306	0	0.011235955	0.023809524	0	0	0.021401819	0.011159469	0	0	0	0	0.021944262	0.011074197	0.010549636	0	0.01179941	0.054632867	0.033959701	0.011936023	0.011388225	0.045433894	0.022318938	0
OTU_50	0	0.012027905	0.02315887	0	0	0	0	0	0	0.04519774	0	0	0	0	0	0	0	0	0.011235955	0	0	0	0.021401819	0	0	0	0.01108156	0	0.010972131	0.011074197	0.021099272	0.010350895	0.01179941	0.021853147	0.056599502	0.011936023	0	0.011358473	0	0.022111664
OTU_51	0	0	0	0	0	0.035876585	0	0	0	0	0	0.012482836	0	0	0	0	0	0	0.033707865	0	0.056682916	0	0.053504548	0.011159469	0	0	0.01108156	0.011069294	0.021944262	0.055370986	0.05274818	0	0.01179941	0.043706294	0.090559203	0.011936023	0.056941123	0.011358473	0.033478406	0.033167496
OTU_52	0.396825397	0.024055809	0.555812876	0.569196429	1.050147493	0.39464243	0.229826353	0.319233839	0.625144709	0.237288136	0.01199904	0.062414181	0.170586085	0.757228086	0.65462754	0.517493531	0.85531005	0.202236498	0.179775281	0.178571429	1.65514114	1.614994695	1.252006421	2.209574824	2.000211663	2.369212267	3.756648936	1.959264999	1.974983542	1.949058693	1.297605233	2.504916675	2.029498525	3.47465035	2.014942269	0.811649558	1.731010136	3.044070877	2.655953577	0.90657822
OTU_53	0.012025012	0.024055809	0.104214914	0	0.01179941	0.047835446	0.012768131	0	0.011576754	0.06779661	0.01199904	0.024965672	0.024369441	0	0.06772009	0.022499719	0.023758612	0	0.02247191	0.023809524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_54	0	0	0	0.022321429	0.03539823	0.047835446	0	0	0	0	0.01199904	0.012482836	0.024369441	0	0	0.022499719	0.011879306	0	0	0.05952381	0	0	0.01070091	0	0.042332522	0	0	0	0	0	0	0.020701791	0.01179941	0.010926573	0.0113199	0.011936023	0.022776449	0.011358473	0.022318938	0.011055832
OTU_55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023576565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_56	0	0.060139524	0.011579435	0.066964286	0.01179941	0	0	0.022802417	0.034730262	0	0	0.024965672	0.024369441	0.08031207	0.124153499	0.022499719	0	0.023792529	0.011235955	0.071428571	0	0.106094542	0.064205457	0.011159469	0.084665044	0.012026458	0.055407801	0.077485056	0.021944262	0.088593577	0	0.020701791	0.02359882	0.076486014	0.124518904	0.059680115	0.113882246	0.045433894	0.066956813	0.05527916
OTU_57	0.06012506	0	0	0	0	0	0	0.011401209	0	0.011299435	0	0.124828361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_58	0	0.060139524	0.104214914	0.15625	0.353982301	0.275053815	0.076608784	0	0	0	0	0.024965672	0.01218472	0.034419458	0.022573363	0.011249859	0.035637919	0.011896265	0	0.130952381	0	0.294707061	0	0	0.328077045	0	0	0	0	0	0.073847452	0.010350895	0	0	0.181118406	0.143232275	0	0	0	0
OTU_59	0	0	0	0.133928571	0	0	0	0.114012085	0	0.587570621	0.227981761	0	0	0.068838917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_60	0.372775373	0.288669714	0.301065308	0.457589286	0.530973451	0.78928486	0.651174668	0.262227796	0.56726094	0.564971751	0.791936645	0.187242542	0.243694407	0.126204681	0.383747178	0.224997188	0.700879069	0.237925291	0.123595506	0.404761905	0	0	0	0	0	0	0	0	0	0	0.010549636	0	0	0	0	0	0	0	0	0
OTU_61	0	0	0.127373784	0	0	0	0	0.239425379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021944262	0	0	0	0	0	0	0	0	0	0	0
OTU_62	2.392977393	4.005292278	3.554886522	2.522321429	1.628318584	2.750538149	2.617466803	3.10112872	2.616346376	2.451977401	2.195824334	3.208088878	2.436944072	3.21248279	2.042889391	2.609967375	1.888809694	2.343564121	1.988764045	3.19047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_63	0.048100048	0.036083714	0.034738305	0.078125	0.01179941	0.035876585	0.076608784	0.022802417	0.138921047	0.079096045	0.179985601	0.049931344	0.182770805	0.149150987	0.124153499	0.078749016	0.059396531	0.047585058	0.011235955	0.05952381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.079356082	0	0.064205457	0.011159469	0.042332522	0	0.099734043	0	0.021944262	0	0.126595632	0	0.01179941	0	0.271677609	0.190976367	0.022776449	0.079509314	0.37942194	0.077390824
OTU_65	0	0	0	0.022321429	0	0.023917723	0	0.034203626	0.023153508	0	0.01199904	0.024965672	0.01218472	0.045892611	0.011286682	0	0.023758612	0	0	0.035714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_66	0	0	0.011579435	0	0	0	0	0	0.034730262	0.011299435	0	0	0	0	0	0	0.011879306	0	0	0	0	0.011788282	0	0	0	0.048105833	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_67	0	0	0	0	0	0.083712031	0	0	0	0	0	0	0	0.022946306	0	0.011249859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011055832
OTU_68	0	0	0	0	0	0	0	0	0	0	0	0.012482836	0	0	0	0.022499719	0	0	0	0	0	0	0	0	0	0.024052916	0.01108156	0	0	0	0	0	0	0	0.0113199	0	0	0	0.011159469	0
OTU_69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034009749	0	0	0	0.074081913	0.012026458	0	0.011069294	0.010972131	0	0	0	0	0.043706294	0.022639801	0	0.091105797	0.045433894	0.078116282	0
OTU_70	0.012025012	0.024055809	0	0	0.17699115	0.263094953	0.063840654	0	0.092614031	0	0	0.28710523	0	0	0	0	0.011879306	0.059481323	0	0.035714286	0.056682916	0	0.438737293	0.011159469	0.01058313	0.012026458	0.01108156	0.022138588	0	0	0	0	0	0.120192308	0	0.035808069	0	0	0	0
OTU_71	0	0	0.011579435	0	0	0	0	0	0.023153508	0.124293785	0.01199904	0	0	0	0	0	0	0	0.112359551	0	0	0.035364847	0.074906367	0.011159469	0.021166261	0	0	0.055346469	0	0.011074197	0.042198544	0.010350895	0	0.338723776	0.0113199	0	0	0	0	0
OTU_72	0.012025012	0	0.02315887	0	0	0	0	0	0	0	0	0	0.024369441	0.011473153	0	0	0	0	0	0	0	0	0.01070091	0	0	0	0	0	0	0	0	0	0	0.010926573	0	0	0	0	0.011159469	0.011055832
OTU_73	0	0.012027905	0.011579435	0	0	0	0	0	0	0	0.02399808	0	0	0	0	0	0	0	0	0	0.022673166	0.058941412	0.107009096	0	0.01058313	0.036079375	0.110815603	0.033207881	0.076804916	0.07751938	0.063297816	0.051754477	0.05899705	0.174825175	0.056599502	0	0.056941123	0.227169468	0.022318938	0.11055832
OTU_74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011788282	0.021401819	0	0	0	0	0.033207881	0	0	0	0	0	0	0	0	0	0	0	0
OTU_75	0	0	0	0	0.03539823	0.011958862	0	0.011401209	0	0	0	0	0.01218472	0.011473153	0	0	0	0	0.033707865	0	0	0	0.01070091	0	0	0	0	0.022138588	0	0	0	0	0	0	0	0	0.045552898	0	0.011159469	0
OTU_76	0	0.012027905	0.011579435	0	0.05899705	0.011958862	0	0	0	0.033898305	0	0	0.01218472	0	0.011286682	0.033749578	0	0	0.011235955	0	0.034009749	0	0.01070091	0	0.01058313	0	0	0	0	0	0.010549636	0	0.02359882	0	0.0113199	0	0.034164674	0	0.011159469	0
OTU_77	0.06012506	0.048111619	0.011579435	0.022321429	0.07079646	0	0.025536261	0.068407251	0.127344293	0.011299435	0.02399808	0.112345525	0.024369441	0.034419458	0.056433409	0.067499156	0.106913756	0.095170117	0.033707865	0.071428571	0.158712164	0.518684428	1.177100054	0.27898672	0.8678167	1.6115454	0.321365248	0.752711977	0.526662278	0.985603544	0.485283258	1.656143256	0.719764012	0.426136364	0.565995019	0.811649558	0.307482064	1.29486597	1.372614664	0.541735766
OTU_78	0	0	0	0	0.01179941	0.011958862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011336583	0	0.01070091	0	0	0	0	0.011069294	0	0.011074197	0	0	0	0.010926573	0	0	0.011388225	0.011358473	0.011159469	0
OTU_79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011235955	0	0.011336583	0	0	0	0	0	0.01108156	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056682916	0.306495344	0.107009096	0.022318938	0.158746957	0.276608539	0.099734043	0.044277175	0.175554093	0.188261351	0.042198544	0.082807163	0.424778761	0.207604895	0.147158705	0.179040344	0.068329347	0.068150841	0.156232563	0.05527916
OTU_81	0	0.012027905	0	0	0.01179941	0	0.012768131	0.034203626	0	0.02259887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_82	0.240500241	0.048111619	0.081056044	0.078125	0.1179941	0.203300646	0.063840654	0.228024171	0.069460523	0.305084746	0	0.711521658	0.036554161	0.057365764	0.045146727	0.326245922	0.071275837	0.059481323	0	0.321428571	0	0	0	0	0	0.168370415	0	0	0	0.022148394	0	0	0	0.010926573	0	0.179040344	0	0	0	0
OTU_83	0	0	0	0	0	0	0	0	0.011576754	0	0	0	0	0	0	0	0.059396531	0	0	0	0	0	0	0	0	0	0	0	0	0.022148394	0	0	0	0	0	0	0	0	0	0
OTU_84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011788282	0.01070091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_85	0.036075036	0	0	0	0.01179941	0.095670892	0.025536261	0	0	0	0	0	0.024369441	0	0	0.011249859	0	0	0	0.011904762	0.011336583	0.035364847	0.149812734	0.011159469	0.052915652	0	0.055407801	0.011069294	0.010972131	0	0.137145268	0.072456267	0.02359882	0.010926573	0.022639801	0.035808069	0.011388225	0.011358473	0	0.011055832
OTU_86	0	0	0	0	0	0	0.025536261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_87	0	0.012027905	0	0	0.01179941	0.011958862	0.025536261	0.011401209	0.011576754	0.011299435	0	0.012482836	0	0.022946306	0	0	0	0	0.011235955	0	0	0.011788282	0	0	0	0	0.022163121	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_88	0.012025012	0	0	0	0	0	0	0	0.011576754	0	0	0	0	0	0.011286682	0	0	0	0	0	0	0	0	0	0.021166261	0	0.01108156	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022673166	0	0	0	0.021166261	0	0.01108156	0	0	0	0.010549636	0	0	0	0.0113199	0	0	0	0	0
OTU_90	0.036075036	0	0	0	0	0.011958862	0.012768131	0.022802417	0	0.011299435	0.01199904	0	0	0	0	0	0	0	0	0	0	0.011788282	0.053504548	0.011159469	0	0	0	0.055346469	0.043888523	0.022148394	0	0	0	0.010926573	0	0	0.022776449	0.056792367	0.066956813	0
OTU_91	0	0.012027905	0	0	0	0.023917723	0	0.022802417	0	0.04519774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010350895	0	0	0	0	0.022776449	0.011358473	0	0
OTU_92	0.204425204	0.264613904	0.266327003	0.167410714	0.235988201	0.251136092	0.229826353	0.182419336	0.289418847	0.259887006	0.275977922	0.312070903	0.170586085	0.183570445	0.090293454	0.213747328	0.142551675	0.166547704	0.157303371	0.178571429	0.260741413	0.259342214	0.149812734	0.122754157	0.148163827	0.33674083	0.199468085	0.210316582	0.329163924	0.243632337	0.179343813	0.113859849	0.18879056	0.251311189	0.169798506	0.226784435	0.113882246	0.124943208	0.234348845	0.232172471
